ID,Sand %,Clay %,Silt %,pH,N,P,K
449,36,32,32,7.82,8.94,3.12,182
450,34,34,32,7.31,21.93,10.93,261
451,28,36,36,7.8,2.99,1.21,243
452,24,40,36,7.63,20.39,4,207
453,26,38,36,7.55,9.6,14.64,301
454,26,38,36,7.73,3.3,3.76,198
455,40,32,28,7.75,20.47,50.94,385
456,38,36,26,7.55,12.77,61.24,334
457,30,42,28,7.64,7.4,2.64,302
458,26,46,28,7.62,8.41,2.57,363
459,44,40,16,7.69,7.93,3.77,356
460,24,46,30,7.65,4.62,2.78,341
461,22,46,32,7.68,8.81,4.94,354
462,42,36,22,7.66,3.92,3.1,348
463,22,62,16,7.62,3.43,9.39,321
464,30,46,24,6.99,6.3,11.42,234
465,42,32,26,7.59,9.2,10.59,244
466,30,42,28,7.56,3.48,3.89,335
467,24,40,36,7.62,7.13,5.32,162
468,20,40,40,7.75,13.96,3.67,197
469,32,30,38,7.66,3.43,3.97,146
470,28,44,28,7.62,4.09,3.15,260
471,24,50,26,7.66,10.17,4.33,284
472,16,58,26,6.77,11.84,6.99,363
473,24,48,28,7.5,12.46,9.58,363
474,26,36,38,7.69,9.64,5.42,187
475,18,54,28,6.91,4.58,12.3,361
476,62,20,18,6.66,13.21,25.51,139
477,38,40,22,6.8,8.67,12.71,215
478,44,34,22,6.56,11.84,11.92,192
479,40,30,30,7.64,1.72,8.71,211
480,24,40,36,7.6,15.54,7.49,341
481,20,56,24,7.52,7.09,5.7,449
482,24,42,34,7.5,5.94,8,320
483,24,46,30,7.55,8.23,4.75,340
484,26,44,30,7.41,6.21,8.55,386
485,30,42,28,7.53,3.08,13.96,381
486,24,46,30,7.64,7.35,71.69,596
487,22,48,30,7.63,11.98,8.07,352
488,38,34,28,7.66,9.47,21.48,306
489,22,48,30,7.59,25.41,8.55,417
490,24,42,34,7.64,22.19,8.21,319
491,22,46,32,7.54,10.96,10.61,328
492,30,40,30,7.44,29.9,7.38,314
493,26,50,24,6.36,33.02,20.31,386
494,30,56,14,7.17,25.23,10.35,161
495,22,54,24,7.46,12.72,2.82,248
496,38,32,30,7.66,9.29,3.53,165
497,28,46,26,7.61,9.11,3.93,116
498,36,30,34,7.56,16.82,4.36,276
499,28,44,28,7.53,15.28,7.47,160
500,34,40,26,7.48,18.14,3.98,206
501,40,28,32,5.99,12.11,13.91,154
502,42,32,26,7.45,8.19,8.29,162
503,44,22,34,6.81,10.39,33.93,163
504,34,36,30,7.59,12.9,9.81,357
505,52,20,28,6.72,3.96,10.61,120
506,38,28,34,7.66,9.07,6.91,207
507,34,36,30,7.32,11.49,16.51,285
508,40,24,36,7.64,17.83,9.13,158
509,40,26,34,7.66,17.13,7.18,120
510,20,58,22,6.7,10.3,3.44,333
511,22,46,32,6.98,1.98,9.69,142
512,26,48,26,6.94,7.57,7.91,155
513,30,42,28,6.66,12.55,20.41,203
514,24,46,30,6.3,10.7,12.81,114
515,16,54,30,6.2,26.86,38.93,300
516,14,60,26,6.35,10.44,32.05,655
517,26,56,18,7.36,20.61,5.73,473
518,40,28,32,7.65,9.2,5.69,187
519,34,36,30,7.66,12.9,10.93,229
520,38,30,32,7.62,31.17,8.6,231
521,46,18,36,7.81,6.16,14.73,414
522,30,46,24,7.24,12.06,7.27,581
523,30,48,22,7.18,7.62,40.66,373
524,48,28,24,7.69,5.15,6.18,486
525,26,50,24,7.48,7.27,8.38,207
526,34,38,28,7.61,13.39,6.28,88
527,20,54,26,6.67,5.86,5.71,304
528,34,30,36,5.16,20.83,13.18,59
529,28,44,28,7.12,14,5.89,202
530,22,56,22,6.24,8.63,11.85,338
531,28,40,32,5.15,22.5,23.67,767
532,28,46,26,6.74,14.35,26.31,305
533,32,40,28,5.84,23.12,22.13,80
534,28,50,22,6.54,2.33,43.46,344
535,20,44,36,7.24,2.11,6.37,315
536,36,34,30,5.08,5.94,24.78,161
537,24,46,30,6.89,9.91,31.92,266
538,32,46,22,7.25,24,20.04,288
539,24,50,26,6.88,52.18,11.65,315
540,40,28,32,7.6,1.59,5.66,201
541,20,32,48,7.74,2.82,6.33,244
542,16,32,52,7.66,1.67,7.31,221
543,16,42,42,6.91,3.74,18.8,408
544,42,24,34,5.88,7.44,11.27,157
545,20,22,58,7.56,11.18,20.87,303
546,32,22,46,7.69,10,15.26,180
547,22,46,32,7.58,17.26,39.43,489
548,28,22,50,7.74,1.36,4.45,214
549,34,32,34,7.68,0.88,8.07,272
550,48,14,38,7.82,3.87,11.68,263
551,26,22,52,7.71,0.88,5.75,166
552,52,14,34,7.78,1.63,22.71,94
553,52,14,34,7.72,5.11,22.05,107
554,46,18,36,7.67,10.7,8.86,136
555,48,18,34,7.7,19.37,13.7,162
556,38,26,36,7.74,0.26,25.11,255
557,40,16,44,7.78,20.03,10.81,202
558,46,12,42,7.83,24.26,12.73,122
559,28,28,44,7.74,5.2,14.28,177
560,26,54,20,7.7,16.6,19.63,486
561,32,42,26,7.62,8.06,15.15,360
562,28,24,48,7.84,14.27,12.39,114
563,32,32,36,7.65,14.31,8.6,118
564,26,52,22,7.74,17.83,9.08,327
565,26,44,30,7.72,23.73,4.46,226
566,32,38,30,6.93,11.23,20.68,332
567,44,34,22,5.61,14.27,20.77,271
568,26,50,24,5.61,16.78,23.3,319
569,44,38,18,7.58,4.05,20.85,275
570,38,32,30,7.62,7.57,7.73,289
571,36,38,26,7.66,6.08,7.73,282
572,54,18,28,7.63,14.62,12.19,195
573,30,38,32,7.57,10.88,7.85,469
574,32,38,30,7.08,16.38,12.41,296
575,24,44,32,7.62,27.78,5.35,319
576,24,44,32,7.54,17.3,22.18,587
577,42,34,24,7.6,10.74,7.31,257
578,28,44,28,5.72,10,22.82,273
579,24,46,30,6.49,12.81,20.23,385
580,40,30,30,7.04,9.11,17.72,356
581,32,30,38,7.46,21.75,11.73,345
582,30,40,30,7.63,11.4,16.67,288
583,40,30,30,7.64,17.3,13.02,184
584,40,34,26,7.57,9.47,8.23,229
585,30,32,38,7.69,17.17,14.11,268
586,30,42,28,7.65,16.25,8.71,264
587,24,42,34,7.36,21.05,6.72,363
588,38,34,28,5.31,12.2,8.7,155
589,62,14,24,7.43,23.64,12.05,157
590,30,36,34,6.7,9.25,24.69,152
591,40,26,34,5.22,26.64,17.96,87
592,28,46,26,5.8,11.23,13.51,216
593,44,30,26,5.37,7.71,21.2,152
594,50,16,34,5.57,5.99,18.92,138
595,54,16,30,6.01,7.66,12.04,118
596,68,10,22,7.06,3.87,16.01,92
597,66,10,24,5.47,8.63,19.66,86
598,40,22,38,7.48,45.57,152.42,764
599,40,28,32,7.53,6.03,11.84,316
600,26,44,30,7.21,7.53,19.24,426
601,50,32,18,7.02,6.96,25.03,251
602,44,32,24,7.15,6.78,9.75,132
603,38,34,28,5.4,7.35,8.46,202
604,54,20,26,7.5,7.75,5.85,161
605,48,28,24,7.49,6.56,28.41,251
606,28,44,28,6.38,8.1,18.39,237
607,48,20,32,7.51,16.6,7.54,241
608,28,40,32,5.27,3.21,12.34,204
609,48,22,30,4.94,3.74,11.79,94
610,34,28,38,7.26,10.66,8.8,268
611,40,30,30,5.12,7.57,9.64,176
612,38,40,22,5.26,13.78,20.2,261
613,32,36,32,5.72,14.53,20.15,299
614,18,52,30,7.26,17.35,3.66,409
615,18,52,30,6.15,14.88,10.71,551
616,26,40,34,5.78,8.89,17.7,405
617,36,32,32,5.87,22.98,18.58,259
618,28,44,28,6.4,6.21,14.52,339
619,26,40,34,7.15,29.41,29.5,538
620,18,56,26,7.57,32.23,8.07,349
621,26,48,26,5.55,2.82,23.75,438
622,34,26,40,6.83,12.42,80.14,674
623,46,18,36,6.04,5.28,8.33,182
624,22,50,28,4.88,4.76,15.24,325
625,28,42,30,4.8,1.72,14.43,325
626,26,44,30,4.67,5.37,11.83,314
627,14,50,36,7.08,4.54,6.95,657
628,22,48,30,4.77,9.38,8.49,296
629,26,46,28,4.7,3.04,11.05,344
630,24,46,30,4.9,5.11,11.11,273
631,30,38,32,4.66,5.77,14.21,219
